rank,title,rating,votes,year,director_actors,genre,link,poster
159,心灵奇旅,8.7,1140420,2020,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...,动画 奇幻 音乐,https://movie.douban.com/subject/24733428/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.webp
169,小丑,8.7,1124451,2019,导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...,剧情 犯罪 惊悚,https://movie.douban.com/subject/27119724/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.webp
122,剪刀手爱德华,8.7,1118876,1990,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,剧情 爱情 奇幻,https://movie.douban.com/subject/1292370/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.webp
126,消失的爱人,8.7,1070884,2014,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.webp
148,神偷奶爸,8.7,1045153,2010,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,喜剧 动画 冒险,https://movie.douban.com/subject/3287562/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.webp
139,天使爱美丽,8.7,1019925,2001,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,剧情 喜剧 爱情,https://movie.douban.com/subject/1292215/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.webp
135,色，戒,8.7,958742,2007,导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,剧情 爱情 情色,https://movie.douban.com/subject/1828115/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.webp
129,傲慢与偏见,8.7,930715,2005,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,剧情 爱情,https://movie.douban.com/subject/1418200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.webp
177,疯狂原始人,8.7,920449,2013,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,喜剧 动画 冒险,https://movie.douban.com/subject/1907966/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.webp
170,三块广告牌,8.7,918994,2017,导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,剧情 犯罪,https://movie.douban.com/subject/26611804/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.webp
193,小偷家族,8.7,894691,2018,导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...,剧情 犯罪 家庭,https://movie.douban.com/subject/27622447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.webp
161,血战钢锯岭,8.7,858687,2016,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,剧情 传记 历史 战争,https://movie.douban.com/subject/26325320/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.webp
167,恐怖直播,8.7,727522,2013,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,剧情 犯罪 悬疑,https://movie.douban.com/subject/21360417/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.webp
160,射雕英雄传之东成西就,8.7,717197,1993,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,喜剧 奇幻 武侠 古装,https://movie.douban.com/subject/1316510/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.webp
196,冰川时代,8.7,685455,2002,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,喜剧 动画 冒险,https://movie.douban.com/subject/1291578/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.webp
188,记忆碎片,8.7,668315,2000,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,犯罪 剧情 悬疑 惊悚,https://movie.douban.com/subject/1304447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.webp
206,疯狂的麦克斯4：狂暴之路,8.7,618134,2015,导演: 乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,动作 科幻 冒险,https://movie.douban.com/subject/3592854/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.webp
186,心迷宫,8.7,616738,2014,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,剧情 犯罪 悬疑,https://movie.douban.com/subject/25917973/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926020289.webp
200,岁月神偷,8.7,612445,2010,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,剧情 家庭,https://movie.douban.com/subject/3792799/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.webp
172,电锯惊魂,8.7,612231,2004,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,悬疑 惊悚 恐怖,https://movie.douban.com/subject/1417598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.webp
190,无敌破坏王,8.7,611601,2012,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...,喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/6534248/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp
218,无耻混蛋,8.7,561686,2009,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ...,剧情 犯罪,https://movie.douban.com/subject/1438652/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.webp
203,大佛普拉斯,8.7,553338,2017,导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,剧情 喜剧,https://movie.douban.com/subject/27059130/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp
202,遗愿清单,8.7,537816,2007,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,冒险 喜剧 剧情,https://movie.douban.com/subject/1867345/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.webp
197,魔女宅急便,8.7,524020,1989,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...,动画 奇幻 冒险,https://movie.douban.com/subject/1307811/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.webp
201,荒蛮故事,8.7,517202,2014,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,剧情 喜剧 犯罪,https://movie.douban.com/subject/24750126/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.webp
222,新龙门客栈,8.7,509432,1992,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,动作 爱情 武侠 古装,https://movie.douban.com/subject/1292287/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.webp
224,人工智能,8.7,502086,2001,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,剧情 科幻,https://movie.douban.com/subject/1302827/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.webp
236,黑客帝国2：重装上阵,8.7,455271,2003,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,动作 科幻,https://movie.douban.com/subject/1304141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.webp
227,雨人,8.7,442905,1988,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,剧情,https://movie.douban.com/subject/1291870/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.webp
245,血钻,8.7,421673,2006,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...,剧情 惊悚 冒险,https://movie.douban.com/subject/1428175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.webp
241,战争之王,8.7,415238,2005,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,剧情 犯罪,https://movie.douban.com/subject/1419936/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.webp
250,房间,8.7,399874,2015,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...,剧情 家庭,https://movie.douban.com/subject/25724855/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.webp
242,谍影重重2,8.7,399531,2004,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,动作 悬疑 惊悚,https://movie.douban.com/subject/1308767/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.webp
155,头号玩家,8.6,1514667,2018,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,动作 科幻 冒险,https://movie.douban.com/subject/4920389/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.webp
147,釜山行,8.6,1347849,2016,导演: 延尚昊 Sang-ho Yeon   主演: 孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,动作 惊悚 灾难,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.webp
180,疯狂的石头,8.6,925067,2006,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,喜剧 犯罪,https://movie.douban.com/subject/1862151/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.webp
204,源代码,8.6,925015,2011,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,科幻 悬疑 惊悚,https://movie.douban.com/subject/3075287/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.webp
221,黑天鹅,8.6,846573,2010,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...,剧情 惊悚,https://movie.douban.com/subject/1978709/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.webp
205,花束般的恋爱,8.6,825796,2021,导演: 土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,剧情 爱情,https://movie.douban.com/subject/34874432/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.webp
210,贫民窟的百万富翁,8.6,806588,2008,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,剧情 爱情,https://movie.douban.com/subject/2209573/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.webp
243,蜘蛛侠：平行宇宙,8.6,756490,2018,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,动作 科幻 动画 冒险,https://movie.douban.com/subject/26374197/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.webp
217,哈利·波特与死亡圣器(上),8.6,695167,2010,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,奇幻 冒险,https://movie.douban.com/subject/2051007/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.webp
229,哈利·波特与凤凰社,8.6,694942,2007,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,奇幻 冒险,https://movie.douban.com/subject/1457217/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.webp
214,爆裂鼓手,8.6,690490,2014,导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...,剧情 音乐,https://movie.douban.com/subject/25773932/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.webp
212,波西米亚狂想曲,8.6,689544,2018,导演: 布莱恩·辛格 Bryan Singer   主演: 拉米·马雷克 Rami Malek / 本·哈...,剧情 传记 同性 音乐,https://movie.douban.com/subject/5300054/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.webp
230,彗星来的那一夜,8.6,683683,2013,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...,科幻 悬疑 惊悚,https://movie.douban.com/subject/25807345/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.webp
232,海边的曼彻斯特,8.6,652067,2016,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,剧情 家庭,https://movie.douban.com/subject/25980443/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.webp
207,白日梦想家,8.6,646001,2013,导演: 本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,剧情 喜剧 冒险,https://movie.douban.com/subject/2133323/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893896472.webp
215,东邪西毒,8.6,635157,1994,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,剧情 动作 爱情 武侠 古装,https://movie.douban.com/subject/1292328/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.webp
187,英雄本色,8.6,605677,1986,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,剧情 动作 犯罪,https://movie.douban.com/subject/1297574/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.webp
216,青蛇,8.6,600862,1993,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,剧情 爱情 奇幻 古装,https://movie.douban.com/subject/1303394/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2923862788.webp
239,奇迹男孩,8.6,600525,2017,导演: 斯蒂芬·卓博斯基 Stephen Chbosky   主演: 雅各布·特伦布莱 Jacob Tr...,剧情 儿童 家庭,https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.webp
226,崖上的波妞,8.6,575061,2008,导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,动画 奇幻 冒险,https://movie.douban.com/subject/1959877/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.webp
249,血观音,8.6,559138,2017,导演: 杨雅喆 Ya-che Yang   主演: 惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,剧情 悬疑,https://movie.douban.com/subject/27113517/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505008756.webp
163,你的名字。,8.5,1590716,2016,导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...,剧情 爱情 动画,https://movie.douban.com/subject/26683290/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2910701461.webp
223,初恋这件小事,8.5,1051389,2010,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,剧情 喜剧 爱情,https://movie.douban.com/subject/4739952/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.webp
195,恐怖游轮,8.5,988728,2009,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,科幻 悬疑 奇幻 惊悚,https://movie.douban.com/subject/3011051/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.webp
235,火星救援,8.5,831686,2015,导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...,剧情 科幻 冒险,https://movie.douban.com/subject/25864085/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.webp
238,冰雪奇缘,8.5,827961,2013,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee   主演: 克里斯汀...,喜剧 动画 奇幻 歌舞,https://movie.douban.com/subject/4202982/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151245053.webp
234,真爱至上,8.5,808230,2003,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 连姆...,喜剧 剧情 爱情,https://movie.douban.com/subject/1292401/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.webp
233,恋恋笔记本,8.5,747644,2004,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,剧情 爱情,https://movie.douban.com/subject/1309163/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.webp
246,小姐,8.5,574767,2016,导演: 朴赞郁 Chan-wook Park   主演: 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,剧情 悬疑 情色 同性,https://movie.douban.com/subject/25977027/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.webp
211,爱乐之城,8.4,1110848,2016,导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...,剧情 爱情 歌舞,https://movie.douban.com/subject/25934014/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929224846.webp
